PeriodoCod,Periodo,Ordine,Gruppo,Indicatore,Unita,Territorio,Valore
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Totale,mesi,Asti,24.6
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Totale,mesi,Biella,27.3
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Totale,mesi,Cuneo,10.3
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Totale,mesi,Novara,17.4
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Totale,mesi,Torino,18.7
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Totale,mesi,Verbania,12.0
107,I sem 2007,4014,Portafoglio lavori (mesi assicurati),Totale,mesi,Vercelli,12.9
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Fatturato,saldo,Alessandria,0.0
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Fatturato,saldo,Aosta,-7.7
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Fatturato,saldo,Asti,6.7
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Fatturato,saldo,Biella,-25.0
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Fatturato,saldo,Cuneo,1.0
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Fatturato,saldo,Novara,-26.7
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Fatturato,saldo,Torino,-16.2
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Fatturato,saldo,Verbania,22.2
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Fatturato,saldo,Vercelli,-21.4
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Occupazione dipendente,saldo,Alessandria,14.3
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Occupazione dipendente,saldo,Aosta,-23.1
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Occupazione dipendente,saldo,Asti,-7.1
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Occupazione dipendente,saldo,Biella,-9.1
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Occupazione dipendente,saldo,Cuneo,-6.2
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Occupazione dipendente,saldo,Novara,-12.5
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Occupazione dipendente,saldo,Torino,-7.1
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Occupazione dipendente,saldo,Verbania,11.1
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Occupazione dipendente,saldo,Vercelli,-14.3
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Ricorso a manodopera esterna,saldo,Alessandria,25.0
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Ricorso a manodopera esterna,saldo,Aosta,-15.4
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Ricorso a manodopera esterna,saldo,Asti,0.0
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Ricorso a manodopera esterna,saldo,Biella,20.0
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Ricorso a manodopera esterna,saldo,Cuneo,2.3
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Ricorso a manodopera esterna,saldo,Novara,0.0
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Ricorso a manodopera esterna,saldo,Torino,-14.1
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Ricorso a manodopera esterna,saldo,Verbania,33.3
107,I sem 2007,4014,Previsioni (saldo aumento-riduzione),Ricorso a manodopera esterna,saldo,Vercelli,-14.3
107,I sem 2007,4014,Tempi medi pagamento committenti (giorni),Pubblici,giorni,Alessandria,126.0
107,I sem 2007,4014,Tempi medi pagamento committenti (giorni),Pubblici,giorni,Aosta,76.4
107,I sem 2007,4014,Tempi medi pagamento committenti (giorni),Pubblici,giorni,Asti,132.0
107,I sem 2007,4014,Tempi medi pagamento committenti (giorni),Pubblici,giorni,Biella,220.6
107,I sem 2007,4014,Tempi medi pagamento committenti (giorni),Pubblici,giorni,Cuneo,147.7
107,I sem 2007,4014,Tempi medi pagamento committenti (giorni),Pubblici,giorni,Novara,130.0
107,I sem 2007,4014,Tempi medi pagamento committenti (giorni),Pubblici,giorni,Torino,104.5
107,I sem 2007,4014,Tempi medi pagamento committenti (giorni),Pubblici,giorni,Verbania,137.5
107,I sem 2007,4014,Tempi medi pagamento committenti (giorni),Pubblici,giorni,Vercelli,132.2
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Fornitori,giorni,Alessandria,69.4
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Fornitori,giorni,Aosta,68.1
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Fornitori,giorni,Asti,67.0
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Fornitori,giorni,Biella,76.3
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Fornitori,giorni,Cuneo,72.4
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Fornitori,giorni,Novara,71.3
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Fornitori,giorni,Torino,76.2
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Fornitori,giorni,Verbania,77.8
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Fornitori,giorni,Vercelli,76.1
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Fornitori con posa in opera,giorni,Alessandria,32.1
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Fornitori con posa in opera,giorni,Aosta,41.8
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Fornitori con posa in opera,giorni,Asti,38.2
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Fornitori con posa in opera,giorni,Biella,37.7
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Fornitori con posa in opera,giorni,Cuneo,45.6
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Fornitori con posa in opera,giorni,Novara,42.9
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Fornitori con posa in opera,giorni,Torino,52.6
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Fornitori con posa in opera,giorni,Verbania,44.8
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Fornitori con posa in opera,giorni,Vercelli,53.3
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Noleggiatori a caldo,giorni,Alessandria,52.5
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Noleggiatori a caldo,giorni,Aosta,45.0
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Noleggiatori a caldo,giorni,Asti,37.5
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Noleggiatori a caldo,giorni,Biella,48.3
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Noleggiatori a caldo,giorni,Cuneo,58.8
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Noleggiatori a caldo,giorni,Novara,35.6
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Noleggiatori a caldo,giorni,Torino,55.4
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Noleggiatori a caldo,giorni,Verbania,40.0
107,I sem 2007,4014,Tempi medi pagamento fornitori (giorni),Noleggiatori a caldo,giorni,Vercelli,58.3
207,II sem 2007,4015,Costo del credito bancario,Costo effettivo credito a breve,%,Alessandria,8.2
207,II sem 2007,4015,Costo del credito bancario,Costo effettivo credito a breve,%,Aosta,7.7
207,II sem 2007,4015,Costo del credito bancario,Costo effettivo credito a breve,%,Asti,6.6
207,II sem 2007,4015,Costo del credito bancario,Costo effettivo credito a breve,%,Biella,7.1
207,II sem 2007,4015,Costo del credito bancario,Costo effettivo credito a breve,%,Cuneo,6.4
207,II sem 2007,4015,Costo del credito bancario,Costo effettivo credito a breve,%,Novara,7.0
207,II sem 2007,4015,Costo del credito bancario,Costo effettivo credito a breve,%,Torino,7.2
207,II sem 2007,4015,Costo del credito bancario,Costo effettivo credito a breve,%,Verbania,6.0
207,II sem 2007,4015,Costo del credito bancario,Costo effettivo credito a breve,%,Vercelli,8.5
207,II sem 2007,4015,Difficolta reperimento manodopera (% risposte),Generica,%,Alessandria,21.2
207,II sem 2007,4015,Difficolta reperimento manodopera (% risposte),Generica,%,Aosta,27.3
207,II sem 2007,4015,Difficolta reperimento manodopera (% risposte),Generica,%,Asti,0.0
207,II sem 2007,4015,Difficolta reperimento manodopera (% risposte),Generica,%,Biella,4.3
207,II sem 2007,4015,Difficolta reperimento manodopera (% risposte),Generica,%,Cuneo,16.1
207,II sem 2007,4015,Difficolta reperimento manodopera (% risposte),Generica,%,Novara,0.0
207,II sem 2007,4015,Difficolta reperimento manodopera (% risposte),Generica,%,Torino,9.1
207,II sem 2007,4015,Difficolta reperimento manodopera (% risposte),Generica,%,Verbania,0.0
207,II sem 2007,4015,Difficolta reperimento manodopera (% risposte),Generica,%,Vercelli,0.0
207,II sem 2007,4015,Difficolta reperimento manodopera (% risposte),Qualificata,%,Alessandria,56.2
207,II sem 2007,4015,Difficolta reperimento manodopera (% risposte),Qualificata,%,Aosta,54.5
207,II sem 2007,4015,Difficolta reperimento manodopera (% risposte),Qualificata,%,Asti,40.0
207,II sem 2007,4015,Difficolta reperimento manodopera (% risposte),Qualificata,%,Biella,45.8
207,II sem 2007,4015,Difficolta reperimento manodopera (% risposte),Qualificata,%,Cuneo,50.0
207,II sem 2007,4015,Difficolta reperimento manodopera (% risposte),Qualificata,%,Novara,58.3
207,II sem 2007,4015,Difficolta reperimento manodopera (% risposte),Qualificata,%,Torino,31.8
207,II sem 2007,4015,Difficolta reperimento manodopera (% risposte),Qualificata,%,Verbania,50.0
207,II sem 2007,4015,Difficolta reperimento manodopera (% risposte),Qualificata,%,Vercelli,66.7
207,II sem 2007,4015,Intenzioni di investimento (% risposte),No,%,Alessandria,60.6
